review,Sentiment,sentiment
The product is amazing and works perfectly.,positive,Positive
I am very disappointed with the quality.,negative,Negative
Excellent service and quick delivery.,positive,Positive
The item broke after a single use.,negative,Negative
The quality is decent for the price.,neutral,Positive
Highly recommend this product to everyone.,positive,Positive
"Terrible experience, will never buy again.",negative,Negative
"Good value for money, but could be better.",neutral,Positive
Fast shipping and great packaging.,positive,Positive
"Not worth the hype, very overrated.",negative,Positive
